0 6 18 1 -0.000000000000006
0 5 20 3 -0.000000000000000
0 7 20 0 -0.000000000000002
0 8 17 3 -0.000000000000003
0 4 15 0 -0.000000000000004
0 6 18 0 -0.000000000000000
0 6 19 1 -0.000000000000002
0 5 18 1 -0.000000000000000
0 7 17 2 -0.000000000000004
0 7 19 2 -0.000000000000001
0 6 18 2 -0.000000000000004
0 7 17 0 -0.000000000000005
0 7 18 1 -0.000000000000004
0 5 18 0 -0.000000000000001
0 5 18 2 -0.000000000000002
0 8 17 1 -0.000000000000001
0 5 17 0 -0.000000000000002
0 6 17 1 -0.000000000000002
0 5 19 0 -0.000000000000002
0 6 17 0 -0.000000000000003
0 6 17 2 -0.000000000000001
0 5 20 1 -0.000000000000001
0 5 19 2 -0.000000000000000
0 7 18 2 -0.000000000000002
0 7 17 1 -0.000000000000005
0 7 18 0 -0.000000000000002
0 4 19 1 -0.000000000000001
0 5 19 1 -0.000000000000001
0 7 19 1 -0.000000000000003
0 6 16 0 -0.000000000000001
0 7 19 0 -0.000000000000002
0 5 15 1 -0.000000000000000
0 6 19 2 -0.000000000000001
0 4 16 0 -0.000000000000000
0 5 17 2 -0.000000000000002
0 6 17 3 -0.000000000000004
0 6 19 0 -0.000000000000003
0 5 16 1 -0.000000000000001
0 5 17 1 -0.000000000000002
0 6 20 0 -0.000000000000000
0 5 16 0 -0.000000000000002
0 6 20 1 -0.000000000000002
0 6 20 3 -0.000000000000001
0 4 18 0 -0.000000000000001
0 6 16 1 -0.000000000000003
0 7 16 1 -0.000000000000001
0 3 18 1 -0.000000000000002
0 8 18 3 -0.000000000000002
0 4 17 1 -0.000000000000002
0 8 18 0 -0.000000000000001
0 6 15 0 -0.000000000000002
0 4 18 3 -0.000000000000002
0 6 16 2 -0.000000000000002
0 4 18 1 -0.000000000000002
0 5 18 3 -0.000000000000001
0 6 18 3 -0.000000000000003
0 6 19 3 -0.000000000000004
0 7 20 3 -0.000000000000005
0 8 19 2 -0.000000000000003
0 4 17 0 -0.000000000000001
0 3 18 0 -0.000000000000002
0 4 16 1 -0.000000000000001
0 7 19 3 -0.000000000000001
0 9 18 1 -0.000000000000001
0 8 19 3 -0.000000000000002
0 3 17 1 -0.000000000000001
0 8 18 1 -0.000000000000001
0 6 15 1 -0.000000000000003
0 4 17 2 -0.000000000000002
0 6 16 3 -0.000000000000001
0 6 20 2 -0.000000000000000
0 7 18 3 -0.000000000000000
0 7 20 2 -0.000000000000005
0 4 18 2 -0.000000000000001
0 6 18 4 -0.000000000000001
0 8 18 2 -0.000000000000002
0 8 16 1 -0.000000000000005
0 5 19 3 -0.000000000000002
0 4 19 0 -0.000000000000001
0 7 17 3 -0.000000000000007
0 10 14 9 -0.000000000000002
0 9 17 5 -0.000000000000001
0 7 15 3 -0.000000000000000
0 5 17 5 -0.000000000000002
0 7 18 4 -0.000000000000000
0 7 16 4 -0.000000000000002
0 7 16 2 -0.000000000000001
0 8 16 2 -0.000000000000001
0 7 17 4 -0.000000000000004
0 7 16 3 -0.000000000000002
0 8 18 4 -0.000000000000002
0 6 14 3 -0.000000000000002
0 7 15 2 -0.000000000000001
0 8 19 5 -0.000000000000003
0 8 16 4 -0.000000000000002
0 8 17 4 -0.000000000000002
0 6 16 4 -0.000000000000001
0 6 15 3 -0.000000000000004
0 8 17 2 -0.000000000000000
0 5 17 3 -0.000000000000001
0 5 16 3 -0.000000000000002
0 8 16 3 -0.000000000000005
0 6 17 4 -0.000000000000003
0 9 18 2 -0.000000000000001
0 9 17 3 -0.000000000000000
0 9 18 5 -0.000000000000001
0 7 16 5 -0.000000000000000
0 10 17 3 -0.000000000000001
0 5 17 4 -0.000000000000000
0 4 17 3 -0.000000000000001
0 9 16 3 -0.000000000000002
0 9 16 4 -0.000000000000001
0 7 17 6 -0.000000000000003
0 9 18 4 -0.000000000000000
0 7 14 2 -0.000000000000003
0 4 16 3 -0.000000000000002
0 9 17 2 -0.000000000000000
0 7 15 4 -0.000000000000001
